filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
71,6.568381,2.5528228,1.6431389,-4.0155582,0.90968394
72,1.4502828,1.9317307,1.816701,0.48144794,0.11502969
73,1.7128031,2.2173405,1.686757,0.50453734,0.5305835
74,3.4379704,1.051022,1.1233774,-2.3869483,-0.07235539
75,2.671138,1.524601,1.3983737,-1.1465371,0.12622726
76,3.461217,2.5592034,1.8233666,-0.90201354,0.73583674
77,5.713821,1.6303705,1.440247,-4.0834503,0.19012344
78,3.8361022,2.5679066,2.1148036,-1.2681956,0.45310307
79,3.7888758,1.2779559,1.2657471,-2.51092,0.012208819
80,2.0479841,1.9565761,2.0386193,-0.091408014,-0.08204317
81,3.2730901,1.8119391,1.8173928,-1.461151,-0.005453706
82,1.8341246,2.5231302,1.9198191,0.6890056,0.60331106
83,1.7747043,1.4744698,1.5552008,-0.30023456,-0.080731034
84,2.4415245,1.1588534,1.1765629,-1.2826711,-0.017709494
85,6.1343126,2.303686,0.82614106,-3.8306267,1.4775448
86,1.692598,2.2088585,2.1387792,0.5162605,0.07007933
87,1.4760829,1.9548718,1.9022038,0.47878885,0.052667975
88,2.874603,2.2746592,1.6869522,-0.5999439,0.5877069
89,3.4839926,1.7788959,1.229245,-1.7050967,0.5496509
90,8.80154,3.5518925,1.3108448,-5.249648,2.2410479
91,1.6103512,0.9993479,1.037347,-0.6110033,-0.037999034
92,1.8448443,1.0330393,1.1068332,-0.811805,-0.07379389
93,2.9152422,1.3624544,1.0686228,-1.5527878,0.2938316
94,3.4829965,1.2820984,1.0026124,-2.2008982,0.27948606
95,4.0717835,1.2301902,0.99845195,-2.8415933,0.23173821
96,2.6699712,1.4018922,1.493668,-1.268079,-0.091775775
97,4.0186663,1.7322693,1.3531172,-2.286397,0.37915206
98,1.3462405,1.5373005,1.4863948,0.19105995,0.050905704
99,3.1559155,1.5728264,1.51771,-1.5830891,0.055116415
100,4.2102237,2.3781888,2.0599697,-1.8320348,0.31821918
101,3.9140298,2.0356653,1.3269966,-1.8783646,0.7086687
102,1.8692845,1.366409,1.3998909,-0.50287557,-0.033481956
103,4.007284,1.9680997,1.6018746,-2.0391846,0.36622512
104,7.1578565,2.6156702,1.1672887,-4.5421863,1.4483815
105,1.6251106,2.1900253,2.1173213,0.5649147,0.07270408
106,1.4542125,1.2904942,1.2525415,-0.16371834,0.03795266
107,4.011007,3.3074613,2.314461,-0.7035456,0.99300027
108,4.8816056,1.7131164,1.4268085,-3.1684892,0.28630793
109,2.308863,2.9127846,2.7992766,0.60392165,0.113507986
110,1.0727226,1.7099099,1.4516987,0.63718736,0.25821126
111,1.6795108,1.7719082,1.8781667,0.09239733,-0.10625851
112,4.72233,2.346376,1.160065,-2.3759542,1.1863109
113,1.3343805,2.2839224,2.066782,0.9495419,0.21714044
114,6.0291705,2.706265,1.052827,-3.3229055,1.653438
115,4.135514,1.3877518,1.0088959,-2.747762,0.37885594
116,3.9489143,2.596239,1.6671715,-1.3526752,0.9290676
117,0.9257971,0.9380381,0.98657024,0.012241006,-0.04853213
118,2.2158663,2.7406445,2.5844219,0.5247781,0.15622258
119,2.6174874,1.7580719,1.5702085,-0.85941553,0.18786335
120,3.1597617,3.3522263,2.2619565,0.19246459,1.0902698
121,3.7967896,1.5966073,1.555481,-2.2001824,0.04112637
122,4.2671185,1.4416043,0.75202256,-2.8255143,0.6895817
123,2.1726115,2.2010963,2.3417437,0.028484821,-0.14064741
124,3.0169373,1.8131696,1.4724541,-1.2037677,0.34071553
125,3.7938504,1.8823053,1.3159566,-1.9115452,0.5663487
126,3.5228224,1.3507298,0.5958271,-2.1720924,0.7549027
127,1.9831249,2.9902697,2.6571515,1.0071448,0.3331182
