filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
0,6.060547,2.7338054,1.2390862,-3.3267415,1.4947193
1,4.5271854,1.5983367,0.7306782,-2.9288487,0.8676585
2,1.4513041,1.2960883,1.4379026,-0.15521574,-0.14181423
3,3.6100411,2.3339887,1.6322831,-1.2760525,0.7017056
4,2.091558,1.0285292,1.0603604,-1.0630288,-0.031831264
5,1.772701,1.6604152,1.5719756,-0.11228585,0.088439584
6,2.8350878,2.1749551,1.6904473,-0.66013265,0.4845078
7,8.180578,2.6882834,0.91265523,-5.492295,1.7756282
8,1.1716344,1.3544158,1.36726,0.18278134,-0.012844205
9,3.0086033,1.3968648,1.0958152,-1.6117386,0.3010496
10,1.6615562,2.9720802,2.4221745,1.310524,0.5499058
11,3.6847055,1.8882121,1.2376299,-1.7964934,0.6505822
12,3.2350678,1.6713586,1.563008,-1.5637093,0.108350635
13,3.8285034,1.7302423,0.8790692,-2.098261,0.85117304
14,1.6364831,3.8061364,3.1786957,2.1696534,0.6274407
15,2.2466826,2.652715,2.6544085,0.40603232,-0.0016934872
16,1.8300118,1.9120827,1.9682033,0.08207083,-0.056120634
17,2.1461453,1.8868549,2.0187123,-0.25929046,-0.1318574
18,2.1405704,2.553601,1.6956719,0.41303062,0.8579291
19,4.2828884,1.3415098,0.9732302,-2.9413786,0.36827964
20,1.429314,1.9430087,1.8090068,0.51369464,0.13400185
21,4.409934,1.5520102,1.1369475,-2.857924,0.41506267
22,4.1687717,2.5509331,1.6210209,-1.6178386,0.9299122
23,2.2546442,1.625389,1.2276081,-0.6292552,0.3977809
24,2.255022,2.9544601,2.497674,0.6994381,0.45678616
25,1.8249002,2.371865,2.2500336,0.5469649,0.12183142
26,4.578765,1.7194651,1.3414685,-2.8592997,0.37799668
27,4.4422045,1.6873648,1.4114251,-2.7548397,0.2759397
28,7.001922,2.5892498,1.6196008,-4.412672,0.9696491
29,4.5070176,2.0489776,1.7523205,-2.45804,0.2966571
30,2.8659067,2.5836475,1.6035328,-0.28225923,0.9801147
31,2.9566162,1.8803242,1.3908722,-1.0762919,0.489452
32,0.9833384,1.0556654,1.065621,0.07232696,-0.009955645
33,1.979086,1.2187607,1.1716665,-0.7603253,0.047094226
34,1.6387314,1.8332369,1.7856002,0.19450557,0.047636747
35,4.086348,1.4488201,1.112308,-2.637528,0.3365121
36,4.9229846,2.1223319,1.5218453,-2.8006527,0.6004865
37,1.3334947,2.1443276,2.0778756,0.810833,0.06645203
38,2.7294014,0.97092307,0.94409496,-1.7584783,0.02682811
39,5.544749,1.885215,1.4760982,-3.6595337,0.40911686
40,3.4793494,1.757013,1.4298794,-1.7223364,0.32713354
41,2.644246,1.7828752,1.2433413,-0.8613709,0.53953385
42,2.1747842,0.2442835,0.26134643,-1.9305007,-0.017062932
43,5.1110826,1.9069259,0.6014847,-3.2041566,1.3054411
44,1.6572702,1.6043653,1.7165997,-0.052904844,-0.112234354
45,2.6658914,0.8855382,0.616707,-1.7803532,0.2688312
46,4.0938954,2.1717956,1.127638,-1.9220998,1.0441576
47,3.2198603,1.539908,1.2818793,-1.6799523,0.25802875
48,3.025149,1.4992906,1.2783813,-1.5258585,0.22090924
49,1.6850812,1.9791007,1.8322058,0.29401946,0.14689493
50,1.9505175,1.9256157,2.01315,-0.024901867,-0.08753431
51,1.3280927,1.0049282,1.132582,-0.32316446,-0.12765372
52,4.3168015,1.798088,1.4962078,-2.5187135,0.30188012
53,1.573347,2.1169264,1.8724583,0.54357946,0.2444681
54,3.6578789,2.1827824,1.8120514,-1.4750965,0.370731
55,1.4239894,2.3020318,1.9917321,0.87804234,0.31029963
56,3.9895716,2.670975,1.9988171,-1.3185966,0.6721579
57,4.141853,2.0109696,1.9128294,-2.1308832,0.09814024
58,1.6300594,1.6093711,1.6936036,-0.020688295,-0.08423257
59,4.7128916,1.8959652,1.3727357,-2.8169265,0.5232295
60,1.8691827,2.2894125,1.7304999,0.4202298,0.55891263
61,3.031415,1.9786061,1.9925352,-1.0528089,-0.013929129
62,2.0704463,3.0875993,2.69199,1.017153,0.39560938
63,3.172624,1.4708142,1.050397,-1.7018099,0.4204172
64,1.44781,2.2715263,2.1372643,0.8237163,0.13426208
65,3.5686352,0.8974876,0.93315136,-2.6711476,-0.035663784
66,3.6336992,2.0392158,1.6912185,-1.5944834,0.3479973
67,3.8236763,1.4502494,0.7983219,-2.373427,0.65192753
68,5.691341,1.5010206,1.2858382,-4.1903205,0.2151823
69,4.0998,2.2278876,1.5334961,-1.8719125,0.6943915
70,3.1267476,1.9473753,1.6371387,-1.1793723,0.31023657
