filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
0,1.8973761,1.272617,1.4226357,-0.6247591,-0.15001869
1,0.75823367,1.0667958,1.0154194,0.30856216,0.051376462
2,2.338444,0.49518606,0.38446683,-1.8432579,0.110719234
3,4.2877903,1.3496609,0.85951763,-2.9381294,0.49014324
4,1.5012816,0.93505657,1.1639841,-0.56622505,-0.2289275
5,6.9126377,1.31153,0.77732384,-5.6011076,0.53420615
6,3.698484,0.5522531,0.27794296,-3.1462307,0.27431017
7,7.156028,1.0319145,0.785613,-6.124113,0.24630147
8,1.8901051,0.44735864,0.46499816,-1.4427465,-0.017639518
9,1.7457137,1.9028174,1.2413541,0.15710366,0.66146326
10,3.5129635,0.94990313,0.85296977,-2.5630603,0.096933365
11,2.51855,1.0464761,1.0180527,-1.4720738,0.028423429
12,1.3582053,1.2936163,1.4838889,-0.06458902,-0.19027257
13,6.814229,2.9930224,1.3603638,-3.8212066,1.6326586
14,3.992188,1.1564221,0.5496096,-2.8357658,0.60681254
15,7.132625,3.2936199,1.5205988,-3.8390052,1.7730211
16,2.9921825,1.9293817,1.4111233,-1.0628008,0.51825845
17,5.81166,1.1888429,1.0871283,-4.622817,0.10171461
18,0.9296004,1.4022526,1.5516703,0.47265214,-0.14941776
19,2.9168806,0.5955016,0.8634314,-2.321379,-0.2679298
20,3.4412308,1.5677842,0.8087197,-1.8734466,0.7590645
21,0.5075464,0.14986302,0.35326415,-0.35768342,-0.20340113
22,1.634589,2.640062,2.368062,1.0054731,0.27200007
23,1.3278346,1.3053617,1.1181283,-0.022472858,0.18723345
24,3.9487839,1.4753976,1.0324186,-2.4733863,0.44297898
25,5.581882,2.5042157,1.2505633,-3.0776663,1.2536525
26,0.98712695,1.3480154,1.2518287,0.36088848,0.09618676
27,1.6143289,2.267827,2.1482477,0.6534982,0.119579315
28,7.7453084,2.302337,2.0633008,-5.442971,0.23903608
29,3.672558,1.357773,0.86168915,-2.314785,0.4960838
30,6.227148,1.9617851,1.0217308,-4.2653627,0.9400543
31,1.305635,1.8335441,1.8316158,0.52790916,0.0019283295
32,0.85376793,1.2922468,1.1376789,0.4384789,0.15456796
33,8.083463,2.5320742,1.0587494,-5.5513887,1.4733248
34,0.5855597,1.8664471,2.1975446,1.2808874,-0.33109748
35,4.6150723,1.933926,1.1903954,-2.6811461,0.74353063
36,1.2096664,1.0061843,1.3786854,-0.20348203,-0.37250102
37,1.8312943,1.7088315,1.1182765,-0.12246275,0.5905551
38,1.3292178,1.6814653,1.7129148,0.35224748,-0.031449556
39,0.6537604,0.6129619,0.6318729,-0.040798485,-0.018911004
40,1.3379807,0.7934452,1.1134557,-0.5445355,-0.32001042
41,3.359079,0.54995733,0.2735666,-2.8091216,0.27639073
42,5.557433,1.6262418,0.8645906,-3.9311914,0.7616512
43,2.6221626,0.70912653,0.3230962,-1.9130361,0.38603035
44,0.8288219,1.3229218,1.1604636,0.49409986,0.16245818
45,4.263565,0.9650128,0.7062509,-3.2985523,0.25876188
46,3.544783,2.2556117,1.9886422,-1.2891715,0.26696944
47,4.3539486,1.9141014,0.6767297,-2.4398472,1.2373717
48,9.513553,2.777183,1.2991583,-6.7363696,1.4780247
49,3.5934289,2.1676075,1.4556037,-1.4258213,0.7120038
50,4.1586623,1.04212,1.4029454,-3.1165423,-0.36082542
51,6.9500847,3.3271503,1.5940341,-3.6229343,1.7331163
52,4.8085766,1.5483314,1.4520489,-3.2602453,0.09628248
53,2.2413013,0.5573046,0.56493104,-1.6839967,-0.0076264143
54,3.9917166,1.9358538,1.0810101,-2.055863,0.85484374
55,5.070626,1.7094879,0.7887869,-3.3611379,0.920701
56,3.552344,2.9971032,1.7619805,-0.55524087,1.2351227
57,2.5844295,1.7779515,1.2279181,-0.806478,0.55003333
58,5.8525114,2.2511547,0.9783667,-3.6013567,1.272788
59,1.3262572,0.61312956,0.6833872,-0.7131277,-0.070257664
60,4.262331,1.8267285,0.9676013,-2.4356027,0.85912716
61,3.920884,1.7406274,1.536904,-2.1802564,0.20372343
62,1.1145438,1.1450489,1.3182877,0.030505061,-0.17323887
63,2.0949242,1.2265761,0.95200795,-0.8683481,0.27456814
64,5.3871837,2.539373,1.2682859,-2.8478107,1.271087
65,2.5986326,1.7067847,1.6348814,-0.89184785,0.07190335
66,1.9188031,1.819068,1.4063587,-0.09973514,0.41270924
67,3.2575996,1.1649346,0.8643566,-2.092665,0.30057806
68,2.45823,3.276452,1.7971474,0.81822205,1.4793047
69,7.4890676,1.0584601,0.5859254,-6.4306073,0.47253472
70,2.5282571,1.5721397,1.0934741,-0.9561174,0.4786656
71,3.6411524,1.3428867,1.4016352,-2.2982657,-0.058748484
72,1.1229284,1.9999566,1.7689142,0.8770282,0.23104239
73,1.5294366,1.179878,1.2230477,-0.3495586,-0.043169737
74,2.646554,0.60161906,1.0315737,-2.044935,-0.4299546
75,4.0237193,0.81563157,0.3483132,-3.2080877,0.46731836
76,1.9298248,1.0760475,0.9566518,-0.8537773,0.11939573
77,4.8296604,1.1558968,1.0748786,-3.6737638,0.08101821
78,0.5497672,0.84904647,0.84196454,0.29927927,0.007081926
79,1.6972433,1.0482209,1.3387644,-0.64902246,-0.29054356
80,2.6532502,1.3381976,1.1475152,-1.3150526,0.19068241
81,0.956927,2.0520005,1.5469674,1.0950735,0.50503314
82,5.0870457,1.9092572,0.87280995,-3.1777885,1.0364473
