filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
83,5.9548154,1.977228,0.9412738,-3.9775872,1.0359542
84,3.258598,1.3314393,0.95662117,-1.9271588,0.3748181
85,1.1204765,0.67427087,1.0991321,-0.44620562,-0.4248612
86,3.822363,1.753867,1.1639416,-2.0684958,0.5899254
87,11.339191,3.4630766,1.2261261,-7.876115,2.2369504
88,1.10098,0.7537601,0.8635551,-0.34721994,-0.109794974
89,1.2731676,1.1993685,1.2845533,-0.07379913,-0.08518481
90,9.197851,2.803594,1.5942044,-6.394257,1.2093897
91,2.814696,1.3866738,0.95711994,-1.4280223,0.42955387
92,2.2309632,2.0299332,1.4984511,-0.20103002,0.5314821
93,7.801032,1.3074627,0.87548053,-6.4935694,0.43198216
94,4.808171,1.1873168,1.0186986,-3.620854,0.1686182
95,3.5585742,1.3341783,0.838878,-2.2243958,0.49530035
96,2.8082647,0.9717579,1.0826923,-1.8365068,-0.11093438
97,3.1149821,0.86669606,0.8998036,-2.248286,-0.03310752
98,2.134761,0.47654623,0.78191406,-1.6582148,-0.30536783
99,5.743641,1.5306906,1.238543,-4.21295,0.29214752
100,1.1974151,0.97218925,0.8196538,-0.22522587,0.15253544
101,4.7167344,1.3659334,0.47761458,-3.350801,0.88831884
102,2.0698009,1.8093245,1.799651,-0.26047635,0.009673476
103,2.7271044,1.5258701,1.2830287,-1.2012343,0.24284136
104,4.4999857,0.9602546,0.6059369,-3.539731,0.35431772
105,4.1837864,1.8097707,0.7678532,-2.3740158,1.0419176
106,2.6704433,1.323343,0.94034386,-1.3471003,0.38299918
107,6.2363424,2.4838603,1.0000329,-3.7524822,1.4838274
108,8.429913,2.930835,1.296421,-5.499078,1.634414
109,1.9576019,1.100705,0.9096785,-0.8568969,0.19102651
110,4.115144,2.0655975,1.5465225,-2.0495462,0.51907504
111,5.272063,0.8978785,0.74225384,-4.374184,0.15562469
112,3.3565564,0.6245865,0.7543674,-2.7319698,-0.12978089
113,0.8612962,0.7214732,1.0585209,-0.13982296,-0.3370477
114,3.0176365,1.8810126,1.4208766,-1.136624,0.46013594
115,3.0683837,1.5485504,0.98751026,-1.5198333,0.5610401
116,4.8027463,1.9406928,1.0895023,-2.8620534,0.85119045
117,3.506089,2.8312247,1.7144827,-0.6748643,1.116742
118,5.4445086,1.6594368,1.06777,-3.7850718,0.5916668
119,4.1228404,0.9432409,0.71442026,-3.1795995,0.22882062
120,1.2111017,1.6354667,1.267926,0.42436504,0.36754072
121,5.6806045,1.2039013,0.77869356,-4.476703,0.42520773
122,4.0306363,2.7869089,1.7926058,-1.2437274,0.9943031
123,2.2665966,0.9099566,1.173386,-1.35664,-0.2634294
124,1.0336295,1.24446,1.2276326,0.21083045,0.016827345
125,4.641395,1.7559365,1.0026783,-2.8854585,0.7532582
126,2.0171075,0.85267866,0.7860996,-1.1644288,0.066579044
127,8.469207,3.453486,1.4702326,-5.015721,1.9832534
