filter_i,filter_j,corr_CTCF,corr_B2CTCF,corr_B2noCTCF,diff_B2CTCF_vs_CTCF,diff_B2CTCF_vs_B2no,diff_CTCF_vs_B2no
0,1,-0.03846223302414454,-0.13310472847748905,-0.0930636361892029,-0.09464249545334452,-0.04004109228828616,0.054601403165058356
0,2,0.030998744849393425,0.05906684363047707,0.00599917573896034,0.028068098781083642,0.05306766789151673,0.024999569110433086
0,3,-0.07338380355396794,0.14022807658575703,0.10304748038231515,0.21361188013972499,0.037180596203441885,-0.1764312839362831
0,4,-0.04019951925013507,0.015950531343115918,0.033133937752390055,0.05615005059325098,-0.017183406409274137,-0.07333345700252512
0,5,0.0505950973104985,-0.03926989372851159,-0.10802746233751404,-0.08986499103901009,0.06875756860900245,0.15862255964801253
0,6,0.014962489079113695,0.06887450561929997,-0.08421955876146332,0.05391201654018628,0.15309406438076328,0.09918204784057702
0,7,0.1425687054197206,0.06372900773483665,0.02353673054936022,-0.07883969768488396,0.04019227718547644,0.1190319748703604
0,8,0.00019373067056885303,-0.11643760650041318,-0.08362103554403474,-0.11663133717098204,-0.03281657095637844,0.0838147662146036
0,9,0.017691051685903944,0.08302676226906221,0.004177022479237306,0.06533571058315826,0.0788497397898249,0.013514029206666639
0,10,-0.05982137324591877,0.0030183454700083755,0.03300488229912368,0.06283971871592714,-0.02998653682911531,-0.09282625554504245
0,11,0.03815198156611124,0.13839066899784494,0.11193101718128017,0.1002386874317337,0.026459651816564775,-0.07377903561516892
0,12,0.009416362686624321,-0.02402556275121217,0.02822802678367055,-0.03344192543783649,-0.05225358953488272,-0.018811664097046227
0,13,-0.05063061712379857,0.04506981723653643,0.006269531524677742,0.095700434360335,0.03880028571185869,-0.05690014864847631
0,14,0.04586075186396876,0.12441393479014518,0.24665823129317346,0.07855318292617641,-0.12224429650302829,-0.2007974794292047
0,15,0.053752239252202585,0.14286227174821978,0.06448311748384063,0.08911003249601719,0.07837915426437915,-0.010730878231638041
0,16,0.03916609802469551,0.09980437172006298,0.11536451308426461,0.06063827369536747,-0.015560141364201627,-0.07619841505956909
