filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
96,1.9721441,1.9170498,1.8098902,-0.05509436,0.107159615
97,1.8546845,1.1047742,1.1167915,-0.74991024,-0.01201725
98,1.9448055,1.6326009,1.5938599,-0.3122046,0.038740993
99,3.170929,1.5096817,1.2253724,-1.6612473,0.28430927
100,1.7928424,1.1104013,0.8969095,-0.6824411,0.2134918
101,1.868867,1.359574,1.338174,-0.5092931,0.021399975
102,2.237778,1.5905708,1.6462843,-0.64720714,-0.055713534
103,1.6358417,1.7551606,1.5936553,0.11931884,0.16150522
104,3.2748444,0.739641,0.16254832,-2.5352035,0.5770927
105,2.0584803,1.6611042,1.8462341,-0.39737606,-0.18512988
106,1.6332986,1.0068614,0.85173166,-0.6264372,0.15512979
107,2.266558,1.714661,1.4155743,-0.5518969,0.2990867
108,2.8857825,1.820036,1.5693399,-1.0657464,0.25069618
109,2.9638128,1.2937585,0.50706655,-1.6700543,0.78669196
110,2.090536,1.6021343,1.5632026,-0.48840177,0.038931727
111,1.5179822,1.8167466,1.8674507,0.29876435,-0.05070412
112,0.9938578,1.3013198,1.0937237,0.30746204,0.20759618
113,3.9294755,1.8402551,1.2625151,-2.0892205,0.5777401
114,1.0703782,1.129022,1.1351364,0.058643818,-0.0061143637
115,2.9697616,1.9991136,1.4858863,-0.97064805,0.5132272
116,1.5604554,1.1865933,1.1599058,-0.37386215,0.026687503
117,2.813301,0.45009935,0.15511023,-2.3632016,0.2949891
118,1.6232347,1.8705318,1.8457733,0.24729705,0.024758458
119,2.474384,0.9383256,0.6569164,-1.5360584,0.2814092
120,1.9612231,1.7028835,1.6679554,-0.25833964,0.034928083
121,2.3927445,1.5559483,1.3261156,-0.8367963,0.22983265
122,2.15668,1.2733823,0.71204704,-0.8832978,0.56133527
123,2.6463187,1.1502452,0.6372915,-1.4960735,0.5129537
124,2.2677517,2.33296,2.1505647,0.0652082,0.18239522
125,1.6582905,1.8121012,1.708798,0.15381074,0.103303194
126,3.8997924,2.139577,1.1717342,-1.7602155,0.9678427
127,2.2617211,2.3951163,2.430019,0.1333952,-0.034902573
