layer,cos_CTCF_vs_B2CTCF,cos_CTCF_vs_B2noCTCF,cos_B2CTCF_vs_B2noCTCF,spear_CTCF_vs_B2CTCF,spear_CTCF_vs_B2noCTCF,spear_B2CTCF_vs_B2noCTCF,n_filters
conv_block_1,0.9953381346047296,0.9955258014273182,0.9974433549191496,0.7411474546786303,0.7267727980223402,0.870187465665629,128
conv_tower_block0,0.9608997388681664,0.9084845679619136,0.9775699700683564,0.4088994689617286,0.031639122871269,0.6405363028749314,128
conv_tower_block1,0.9018095742799636,0.8340542816381674,0.9773342846953014,0.0571037813587255,-0.2932155282915217,0.8010265976927302,128
conv_tower_block2,0.8899402780728355,0.8095026896710158,0.9719864062306008,0.1543902215711408,-0.3583363852774217,0.6759636513459073,128
conv_tower_block3,0.8873013052514996,0.7891929890227831,0.9441566616849424,0.4141583501190258,-0.11773255813953488,0.6499496429225416,128
conv_tower_block4,0.7670067492790758,0.5738246601919491,0.912724070294238,0.3998695293902215,-0.06046282732100348,0.7712129188793261,128
conv_tower_block5,0.6605330126858809,0.1228489361619548,0.6781620650778996,0.5938987822743087,0.06526391686504304,0.6329884636513459,128
