layer,CKA_CTCF_vs_B2CTCF,CKA_CTCF_vs_B2noCTCF,CKA_B2CTCF_vs_B2noCTCF
conv_block_1,0.1131861723349165,0.17366105377692306,0.09286988937684755
conv_tower_block0,0.04600685126282187,0.05045746773494787,0.09103405133089926
conv_tower_block1,0.02629317637849996,0.02750208106984376,0.06731291753401367
conv_tower_block2,0.019463970166009766,0.016283106018620465,0.037453792670812454
conv_tower_block3,0.015220324623412962,0.017333457275832735,0.02426374760755258
conv_tower_block4,0.013089845599825086,0.01038377132989037,0.021546648168701627
conv_tower_block5,0.012094647583517127,0.006617841188533527,0.013275461258800952
